tag,sentence
Res,The United States’s views per video’s median is around 1.411 million.
MethDef,For these reasons we have decided not to explore any of these variables any furthur.
Struct,We first look at how our response changes over time.
Int,"That is, one can expect the mean lifespan of an animal with the same characteristics as a crab-eating raccoon but with a 50% smaller metabolic rate to be between 18.20 and 22.21 years (3)."
MethDef,We then take the exponential of that estimate as our prediction of the maximum lifespan for that round of bootstrap.
Context,"This event marked five days in 1995, from July 12 to July 16, of record high temperatures and overwhelming humidity which resulted in 739 heat-related deaths."
Int,One interesting finding is that there is a correlation between age of account and views per video for only videos in the Education category - perhaps the Education based channels have a loyal following.
MethJust,(2) We therefore can say that model 2 is the better model based on the cross validation error.
Data,Clear outliers we can in both plots are an unusually large amount of deaths in the summer of 1995
MethDef,"In order to see the validity of our interval, we utilize parametric bootstrapping to generate new data and construct a new confidence interval."
Int,"To summerize our models, the decrease in metabolic rate leads to increase in lifespan."
Struct,"(3) Additionally, I have used a pairs plot to show the correlation between the continuous variables in the dataset, and check if there exists any multicollinearity in between variables."
Data,"We also know that the data spans every day for 13 years, which may impact these patterns with the passage of new laws, restrictions, or change in crime rates that can impact our desired response."
Res,This can be noticed in the fact that the density toward the origin is far denser than as it moves away.
Struct,Figure 7 is a plot showing our two models (lagged GAM in blue and non-lagged GAM in red) overlayed on a scatterplot of our response variable 'death' over time.
MethDef,"Preamble: We define lower income as being under the median income of the sample, which we define below."
Int,"Therefore, by the data observed from Figure 5, we can confirm our hypothesis that the greatest amount of YouTube channels appears within the entertainment category."
Context,"We would ask Preston Jorgensen to revert to the recommendations in our introduction that he should give us a different, more thorough dataset, refer to an expert in this field, or look at a different method to extend his lifespan."
Int,"Therefore, it’s lower average of views per video make sense (Median views per video for Italy is around 310,000."
Data,The boxplots clearly shows outliers comprised of days with large concentrations of the respective air pollutants.
Data,"Our primary focus in this report will be on the variable of Playtime, a quantitative variable measuring the time on the field each player spent during the world Cup (in minutes)."
RQJust,This allows us to assume that knowing one variable helps in predicting the other.
Int,It is possible to assume that a certain channel is continuously uploading content of a popular artist that may be consistently releasing music videos with high view counts.
Context,"When I consider such an impact, it is usually negative as well."
Data,"The subscriber count ranges from 107,329 to 27,765,423 subscribers."
Int,"Since the p-value is greater than 0.05, we fail to reject the null hypothesis that there is no association between sex and smoking habits, and conclude that there is not sufficient evidence for a relationship between sex and smoking habits."
MethDef,"From an ANOVA Chi squared test between the simple model with just temperature and Model 2, we get a deviance of 247.56 with p-value of 2.2e-16"
RQJust,The higher frequency of one category increases its’ chances of getting more subscribers.
Data,Total passes is a quantitative variable indicating how many passes each player made during the World Cup.
Data,The mean duration is 164 days and the standard deviation of duration is 120.916 days.
MethDef,MU is the true mean playtime for each of the positions.
MethJust,It is clear that the spline models have much lower MSE estimates than the linear model.
Data,"The datapoints overall are a bit spread out which gives a slight randomness, but still gives strong evidence of negative and linear relationship."
RQDef,The goal of this report is to identify if these notable differences can be indicated — or correlated — with two other variables also collected in the same data set.
Data,"DMC is the moisture content of deep and shallow organic layers, and the mean DMC out of the 517 forest fires studied was 110.872."
MethJust,"At first glance at the scatterplot has a gentle negative slope, but appears to have some curvature to it that indicates a linear model may not be the most effective choice."
MethJust,"Since thousands of people are given liver transplants each year, 77 patients is certainly much smaller."
Res,Figure 9 clearly shows that in general lower metabolic rates (which lead to lower log(metabolic.by.mass)) correspond to higher maximum life span (which leads to higher log(Maximum.longevity.yrs) (1) .
MethDef,"In this context, df includes 3,4,5,6, and 7 such that there are five smoothing spline models, one for each unique value of degrees of freedom."
Context,He wants to know whether the estimated impact of reducing pollution concentration on the average death rate is worth substantial investment in efforts to mitigate pollution levels.
Data,(3) The time series plot shows a clear seasonal pattern in the number of deaths.
RQJust,"Due to drug usage becoming more popular recently, we hypothesize that younger individuals, between the ages of 18-30, will be more likely to use drugs than older individuals."
RQDef,Alternative hypothesis: There is an association between sex and status.
MethJust,"Therefore, we choose to include these outliers rather than removing them from the analyses because they are explained by variables in the data and are meaningful."
Int,"Since the p-value falls below our threshold of 0.01, we reject the null hypothesis that all means are equal, and conclude that there is sufficient evidence for a relationship between income and drug usage."
MethJust,It would not be surprising to find that I get a different best model if I use a different setup for cross validation.
Context,"As the era of technology continues to grow, so do the different ways people can start to profit off of it."
Struct,"Given our data, we will be answering the following three questions."
Lim,This could be further examined in the future.
Context,Conclusions from this study might be of assistance in this matter.
MethJust,"First, the groups must be independent and the samples must be random, which they are."
Data,"$ozone$ seems to follow a right-skewed distribution, with a mean of -2.024 and a median of -3.164 parts per million (1)"
RQDef,We will be analyzing this data to ultimately build a statistical model to examine the relationship between the lifespan and metabolic rate of animals.
Data,What’s noticeable here is that there are a good number of people who said their income is above 1 million.
MethDef,"To first tackle this question, we identified the crab-eating raccoon’s characteristics to calculate its smaller metabolic rate, input that value into our model to determine the estimated mean log of lifespan and then perform an exponential transformation on that result to get an interpretable output in years."
RQDef,"Lastly, we will try to predict the mortality rate given lowest level of pollutants recorded to check if there is any meaningful decrease in mortaility rate(1)"
Res,"However, for the most part, we see an inverse relationship between the log metabolic rate and log lifespan in this graph (1)."
Int,"Among the three kinds of pollutants, ozone is most strongly associated with mortality."
Res,(7) We notice a difference between the two confidence intervals.
RQDef,"To address Mr.Preston Jorgensen's concerns, we will demonstrate our findings by estimating the mortality in Chicago when air pollution is at the minimal level in the historical record (1)"
Data,The variable is measured in watts/gram and metabolic.by.mass will be used instead of metabolic.rate for the remainder of the report.
Int,"Thus, it appears that $ozone$ (more specifically, $lag_ozone$) is most strongly associated with mortality (4)"
Int,"All in all, because of the big difference in the measurements of subscribers across continents, the evidence we have can back the idea that there is an association between the continent the channel originates from and the number of subscribers."
Data,"(1) The four predicor variables are PM$_{10}$ pollution, ozone, sulfur dioxide, and temperature, or their respective lagged versions."
Data,"Our sample mean is approximately 33 years, and our sample standard deviation is approximately 10 years."
Int,"Due to these three countries having the greatest amounts of channels, the content created is essential so that new creators can imitate what they are doing."
Struct,The new distribution graphs after the log transformation shown in figure 6.
MethDef,"Preamble: We define physical wellness being a body type of “athletic”, “average”, “fit”, “jacked”."
MethJust,This similarity means that our assumption about the distribution of the data being Poisson is likely to be correct.
Res,"For these animals, their lifespans appear to be equivalent and not change with their metabolic rate."
Res,"When we look at the shape of this histogram, we can see that the data is bimodal, meaning that there are two “peaks” in the data."
Context,"Due to this enormous popularity, the sport consists of numerous teams that compete for the number one title at the Fifa World Cup."
Res,"After performing this test, we get a test statistic of 4.0258 and a pValue of 0.0001."
MethJust,We can see that the points largely follow the line with a few outliers towards end boundary.
Context,"A majority of these deaths were elderly Chicago residents who could not afford air conditioning or were reluctant to open their windows in fear of crime (i.e., home invasion)"
Res,"Performing the test, we get a test statistic of F = 25.4705 and a p-value that is approximately 0."
RQDef,The purpose of this analysis is to see whether there is any claim type that received significantly higher damages compared to other types of claim.
RQDef,"Our final question at hand, is to study whether the number of subscribers of a channel and its respective viewsPerVideo count are correlated to one another."
MethJust,"Since removing observations with NAs would still leave us with a substantially large dataset (4011 observations), we will do EDA and model selection with the reduced dataset (days with complete data)"
Res,"In the $Chicago$ dataset, the lowest $lag_ozone$ is -18.924, the minimum $lag_so2$ is -4.643, and the minimum $lag_pm10$ is -24.119 (5)"
MethDef,Our null and alternative hypotheses are.
Res,"Within each continent, the entertainment category has the highest number of channels."
Struct,(1) There are three aspects that he is particularly interested in.
RQJust,"Since we have anecdotal evidence that more posts in a thread lead to a higher view count, we will test the following hypotheses."
MethJust,"The residuals are more negative for larger metabolic by mass values, which makes resampling residuals inappropriate."
Res,"Upon observation of plot 5, we can clearly see that, as account age increases, the density of data points decreases, meaning that there are more young accounts than old accounts."
RQDef,"In order to understand the success of Mashable, we will be exploring the relationship between all the possible different channels offers, the title length of each article, and the number of shares distributed."
MethJust,"Model summary (not shown) suggests that in model1, all variables are significant except SO2"
Res,"(1) In summary, we find that the relationship between metabolic rate and lifespan is not linear, but there does seem to be a negative relationship between the two variables."
MethDef,"While we cannot definitively assume that the death variables by season are normally distributed, the log-transformation allows us to roughly assume normality and find a general 99.7% confidence bound based from winter deaths and summer deaths, shown as the orange and blue lines above."
RQJust,We expect to see negative relationship between 'Metabolic.by.mass' and 'Maximum.longevity.yrs' variables in the analysis since we see a negative trend between explanatory variables in the pairs plot in figure 5.
MethJust,"Looking at the qqplot, we can see that the points closely follow the diagonal with only minor deviations at the tails."
Data,"The six variables measure the number of days before/after Dec 31, 1993, number of non-accidental deaths, median density of small particulate matter (air pollution), median concentration of ozone, median concentration of sulfur dioxide, and the mean temperature in Fahrenheit."
MethDef,"More specifically, we will use 10-fold cross-validation to estimate the MSE"
Res,"The lagged GAM had a deviance of 5208.5, while the non-lagged GAM had a deviance of 5604.2"
MethJust,"Since the distribution of deaths differs based on season, defining our response's confidence bounds by season is a cautious and conservative approach to diagnosing outliers."
Struct,(2) Below are plots showing the univariate distribution 'Metabolic.by.mass' and 'Temperature'.
Res,(1) The relationship between metabolic rate and lifespan is moderately linear.
Context,"Channels can even get paid five figures per year, and this number grows more than 50% year by year."
MethDef,"For simplicity, we will conduct a complete-case analysis, which means we will only retain observations that do not contain any missing values (1)"
Struct,"In order to use this test, several conditions must be met."
MethDef,"We therefore decide to leave these values in our data set as accounted for extremes, or perhaps, part of the 0.3% we did not include in our bounds."
RQJust,The sample median for age is 31.00.
MethDef,"(1) To allow comparisons between animals of different sizes, I first create a new variable which divides the metabolic rate by body mass."
Lim,The data set is not large enough to account for those confounding variables.
Lim,"Additionally, the resampling cases bootstrap may have been too broad and as such less accurate, so it may be helpful to check more in-depth whether the error of our model is uniformly distributed, so that we may do a resampling residuals and more specific bootstrap."
Int,Our tests indicated an association between sex and status but no association between status and age or height.
Struct,"From Figure 1, we see the distribution of our non-lagged covariates ($PM_{10}$, $O_3$, $SO_2$, and 'temperature')"
Int,"Given our results from model analysis, we concluded that the effect of pollution extends over time."
MethDef,"Moreover, we built some linear models with different types of transformation."
Lim,"If further research were to be conducted, it would be necessary to delve into many other factors that would show a more direct link with viewsPerVideo."
Context,"Throughout history, the quest for immortality has remained a tried and true staple of humanity."
Data,"If we look at the plot for the death variable in Figure 1, we can see that the histogram is unimodal and skewed left."
Struct,"To understand the variable, we will explore the distribution of the number of shots attempted."
RQDef,"In this study, we will be analyzing the relationship of pollution and temperature on death rate."
MethDef,We can carry out the test at level 0.05.
Data,There are total of 9 key variables to consider.
Data,The quantitative variable ISI denotes a numeric value estimating the rate of fire spread.
MethJust,"From heuristics, we know that $death$ will likely follow the Poisson distribution."
RQDef,"We hypothesize that costs would increase as age increases, on the means that as we age, we tend to suffer more health issues."
MethJust,"We note that the relationship of both transformed and non-transformed data of the two variables are not linear, which is the reason why we choose spline models."
RQDef,We investigated in EDA and modelling sections to find out whether there is a relationship between pollutants and mortality.
RQDef,"First, will slowing the metabolic rate increase the lifespan."
Int,"We notice that 21.34173 falls in the range of confidence interval, indicating the reduction in metabolic rate leads to lifespan increase."
Context,This work can be used by YouTube creators and users to improve their experience on the platform and understand the workings of it.
Res,"Finally, there is no strong relationship between number of videos uploaded and subscriber count, which is also surprising."
Int,"Since they do not overlap, we can infer that lower average pollutant measurements, for PM10 and ozone pollutants, likely result in lower deaths per day in Chicago."
Int,My main findings about the relationship between metabolic rate and lifespan is that there is supported evidence to slowing the metabolic rate may increase lifespan.
Res,"Also, the standard deviation is 1837561.611 and such a large value indicates that there should be quite a few outliers in this data set."
Context,"And within recent times, the natural disaster that has shook up not just the United States, but also the world, has been forest fires."
Data,Age is a quantitative variable that measuring the age of subscribers.
RQJust,This suggests that there may be a relationship between severity and PatientMDRB.
Res,"Based on the plots in Figure 7, it appears that the ozone variables is the most associated because its graph has the largest curve and is the least linear (4)"
RQJust,"The more channels there are under one category, the better chance that that specific category will have more subscribers compared to a category that has a lesser count since there are more channels to subscribe to."
Int,"It can be determined that although it would seem like subscribers effect viewsPerVideo, the data does not support this hypothesis as the correlation between subscriber count and viewsPerVideo is very weak and can also be seen by the scatter plot that accounts with high subscribers have roughly the same viewsPerVideo as other accounts with less subscribers."
RQJust,"Also, depending on what age people retire, there may be a slight dip in the 60s-year range."
Context,"Over the past decade, Youtube has grown from a relatively unknown website into a video platform with channels gaining millions of subscribers and individual videos gaining over tens of millions of views."
MethDef,We have developed a linear regression model controlling the confounding variable typical body temperature to see the causal relationship between metabolic rate and lifespan.
RQDef,The third research question we will discover is to investigate whether the number of subscribers impacts the number of views on a channel.
MethDef,"Moving on to Modeling and Diagnostics, we want to make two Poisson models to compare and see how they do with our dataset."
Res,"The bootstrap was repeated 1000 times, however the confidence interval is still much larger than it is for the other method of estimation."
Int,"(2) After evaluating several models and variable characteristics, our research led us to the conclusion that pollutants extended over time have a relationship with mortality."
RQDef,What determines how long an animal will live?
Res,"So when the two graphs are combined to form an entire distribution from 0 to $44,968,563 (max), the primary mode should be in the range $0-$2500."
Struct,"The first number represents the MSE estimates, and the second number represents the standard error estimates."
Data,"The most popular position being Midfielder with 38.3% (228 of the total 595), then Defender with 31.6% (188 of the total 595), followed by Forward with 24% (143 of the total 595), and finally Goalkeeper with 6.1% (36 of the total 595)."
Data,"The data includes a unique identifying number for each entry (a HAGRID), information on the species' kingdom, common name, maximum lifespan (years), body mass (in grams), temperature (in Kelvin), and finally metabolic rate (in Watts), which is the typical resting metabolic rate (rate of energy used) of the species."
Data,"There are a few outliers at 19, 21, 22, and 27 shots."
Data,"Temperature's positive relationship with ozone is more clear, but it also seems to have a positive association with PM10, which was ambiguous previously."
MethDef,"For this study, we used a generalized additive model on the lagged covariates to determine the association between atmospheric pollutants and death rate."
Int,"Also, as we have argued, extremely low levels of pollutants (like ozone) might be associated with an increase in mortality."
MethJust,"Since we have a categorical explanatory variable (sex) and categorical response variable (status), we can conduct a chi-square test."
RQJust,"If a thread is recently posted, it has a much smaller timeframe to receive a higher count of views or activity to promote it."
MethDef,"In this case, we have two means, so we use the two-sample mean test."
Int,"This confirms how only a few amount of channels are successfully able to maintain a high engagement, or a large view per video count."
Int,"With this conclusion, we also see that the best position for a player in order to have the most shots attempted is Forward, followed by Midfielder, then Defender, and then Goalkeeper."
Lim,"During our selection process for determining the best model, we only considered a linear model that took into account the metabolic rate as a predictor for Lifespan."
Int,They can also understand the correlation between the number of subcribers and views per video is very low.
Struct,"To better understand the playing time of players, we will perform exploratory analysis by examining the distribution of playing time in the 2010 World Cup."
Data,"We will be using information collected from a 2012 study that collected data from the San Francisco are, from 1,500 users."
Struct,"Additionally, 3 more conditions must be met to justify the Chi-Square Test."
Lim,"Furthermore, it may be interesting for other studies that may base this work to look at the relationship between certain variable statistics and other sports."
Lim,It would be better if the components for the ‘other’ category can be specified because it may help to generate a better understanding for the relationship between ClaimType and TotalDamages.
Data,"As shown in the frequency table above, the majority of channels are based in the Americas, which has a grand total of 634."
RQJust,A player that is not confident in their abilities will not try and score goals because they will most likely miss.
Lim,"(2) However, it is worth noting that this setting is problematic."
Struct,Figure 3 shows a pairs plot of different predictor variables and the response variable.
RQDef,We hypothesize that there may be different amounts of playing time dependent on position due to player availability and substitutions that can be made during the game.
Data,"The data we are given contains 5,114 observations where each observation represents a day with 6 variables: time (number of days), death (number of non-accidental deaths), pm10median (milligrams per cubic meter), o3median (parts per billion), so2median (SO2), and tmpd (Fahrenheit) (2)"
Int,"This is interesting to note because (1) it appears to contradict our initial assumption that higher temperatures and concentrations of pollutants are associated with high deaths and (2) there may exist a hidden variable that ""explains"" the strong positive correlation between temperature and pollutants"
Int,"(1) To Preston Jorgensen's interest, we can conclude with 95% confidence that reducing the crab-eating raccoon's metabolic rate by 50% would cause its lifespan to change."
MethJust,"Based on the univariate EDA, both the predictor variable, metabolic by mass, and the reponse variable, lifespan, are skewed to the right."
Context,The internet made us more connected than ever before.
Struct,The following figure displays a contingency table for proportion for each group.
Lim,"There could perhaps be other air pollutant variables at play, or non-air related variables that influenced our outcome that we overlooked (3)"
MethDef,"(5) Two interesting candidate transformations of the data are applying the log function to both variables, and applying the log function to mass-adjusted metabolism and the reciprocal to longevity."
MethDef,"Based on these results, we determined that the spline model with 6 degrees of freedom provided the best fit for the data since it has the smallest prediction error (0.3538)."
Lim,"(3) First of all, we do not know if there are other factors contributing to this lifespan difference."
MethDef,Ha: beta1 > 0.
MethJust,"However, since the predictor error is only seperated by approximately 1 standard error, the difference only seems slightly significiant."
Data,"(1) In figures 2, 3, and 4, we can see that the median concentrations of ozone and sulfur dioxide, and the median density of $PM_{10}$ pollution all appear to be skewed slightly to the right."
MethDef,"Thus, the models will use four explanatory variables: pm10median, o3median, so2median, and tmpd."
RQDef,Our first analysis includes the effect of drinking on how fit you are.
Res,"Surprisingly, a decrease in the $SO_2$ level appears to be associated with an increase in mortality (4)"
Struct,"In order to do this, we again look at our spline curve with our plotted data points."
Data,"It contains 5,114 observations and main 6 variables with 4 additional lag variables for pollutants and temperature."
RQDef,"If so, which pollutant is the most strongly associated with mortality."
MethDef,"To evaluate how well each model fit the data, we used 5-fold cross-validation and mean squared error (MSE)."
Data,Our research will contain other variables including the number of subscribers and the channel category.
MethDef,The first model will use the non-lagged covariates to determine the possibility of non-accidental deaths being related to air quality and temperature over a single day.
RQDef,"In conclusion, understanding the factors that influence an animals lifespan continues to be an important and fundamental question in science."
Int,"With that in mind, we can safely affirm that Music and Entertainment videos are the best categories for someone to create content in if hoping to gain high views."
Context,"A.H Mokdad, J.S Marks, and J.L Gerberding created a study called Actual causes of death in the United States finding an estimated 95,000 people die from alcohol-related causes annually [2]."
Int,From this we conclude that there is sufficient evidence of a positive linear relationship between the number of attempted shots and the play time of the players.
Res,"When we answered question 2, we saw that channels with subscribers ranging from 0 to 5 million subscribers tend to gain views per video around the number of subscribers they have."
Res,"When answering question 1, we saw that videos in the Music categories tend to the best in terms of gaining views, with Entertainment videos coming in at a close second."
Int,"Preston Jorgensen cannot conclude that reducing the pollutants would cause mortality to decrease to the amount our model estimated because this is observational data so we are only able to estimate correlation, which we do not even believe we have in this case (2)"
Struct,We will compare the 6 models we create and then once we have calcuated which model is most efficient we will utilze that model to answer the questions of billionaire Preston Jorgensen.
Struct,"The plots on the diagonal show the marginal distribution curves of the key variables, which is similar to the histograms in figure 1."
Lim,"Since children have more free time in the day, therefore, having more time to watch more videos, it is plausible that channels with minors as their predominant viewing audience would have more views."
Int,But I can only conclude association instead of causation because the predictor is not randomly assigned and there might be unmeasured counfounding variable outside the dataset.
MethJust,"Now the general trend looks linear, but a linear model may not best describe the relationship between the two."
MethDef,"Despite Model 2 does not fit significantly better than Model 1, we still choose Model 2 as our final model (3)"
Data,"Finally, the distribution of the untransformed response variable, maximum longevity or lifespan, can be seen in figure 4, where we notice that the variable lifespan has a distribution which is skewed slightly to the right."
Res,"For a typical crab-eating raccoon, Model 5 predicts that its maximum lifespan is expected to be 14.51303 years."
Int,This is expected as non-parametric bootstrap relies on fewer assumptions and captures more variance in the data.
Int,"In addition, it is important to note that the results in our tests only indicate an association between age, height, or sex and status."
RQDef,Null hypothesis: There is no association between sex and status.
MethJust,"(4) We see a moderate negative linear relationship between 'Metabolic.by.mass.log' and 'Maximum.longevity.yrs.log', having an $R^2$ value of -0.585, which originally did not look linear and looked more like a power law relationship."
Int,"We must also acknowledge that our expected deaths predicted with our lowest observed pollution values takes place during a time when the temperature is 70 degrees, or likely during the summer months."
Data,"From figure 1, we observe that our pollution variables, original and lagged, have longer right tails than left tails."
Struct,We will use data on crab-eating raccoons to illustrate our findings.
RQDef,Our primary goal is to better understand the demographic of people who seek out online dating platforms.
Lim,This is difficult since our pollution variables tend to vary with time as well.
Lim,Limitations of this study primarily revolve around the scope.
Data,Such that lower metabolic rates appear to be related to larger lifespans.
MethDef,"To do so, we will conduct a global goodness of fit test using a Chi square distribution with the deviance of the model and the degrees of freedom."
MethDef,"To get a basic visual representation of the data, we created a box plot comparing the distribution of age across the 4 groups of status (shown in Figure 5)."
MethJust,We use smooth splines for individual variables as we see in EDA that the relationships between the response and explanatory variables do not appear linear (1)
Res,"It can be seen in the plot above that the median viewsPerVideo in Egypt and the United States are higher, roughly in the 400,000-500,000 range."
Data,"The mean ISI is roughly 9 and the median ISI is 8.4, which is slightly lower than the mean."
Struct,"For our usage here, the histogram of age (Figure 1) will be added below."
Res,The model estimates 107.9548 non-accidental deaths for this theoretical observation.
Data,"We may claim that the data points have close to normal distribution, but skewed to the right (3)."
Data,"Each observation has 6 variables, explained below: time: The date of observation, given as the number of days before or after December 31, 1993 death: The number of non-accidental deaths on that date pm10median: The median density of PM$_{10}$pollution, i.e., particulate matter with diameter less than 10 micrometers (milligrams per cubic meter) lag_pm10median: 7 day average of the median density of PM$_{10}$pollution, i.e., particulate matter with diameter less than 10 micrometers (milligrams per cubic meter) o3median: The median concentration of ozone (parts per billion) lag_o3median: 7 day average of the median concentration of ozone (parts per billion) so2median: The median concentration of sulfur dioxide (SO2) lag_so2median: 7 day average of the median concentration of sulfur dioxide (SO2) tmpd: The mean temperature (Fahrenheit) lag_tmpd: 7 day average of the mean temperature (Fahrenheit) After the analysis of this data, we were not able to find a clear correlation between pollutants and mortality (3)"
Int,We found that a player’s position is associated with all three variable statistics.
RQJust,"My hypothesis for this research question is that country will indeed effect viewPerVideo, as not many people or multilingual so they most likely watch videos majority from their country as it is their language."
Struct,"First, let’s analyze the shape."
Data,"The highest number of subscribers for a channel was 27,765,423 ( TheEllenShow ) whereas the channel with the lowest number had 107,329 (FORTNITE IS MY CL)."
MethJust,"This means that the highest deaths aren't paired with disproportionately high temperatures, which was the primary contributor to the deaths in real life."
MethDef,"Note that the time variable has been converted to a date object, 'date' for visualization purposes."
MethDef,"To do so, we will conduct a global goodness-of-fit test on our lagged GAM"
Int,"The difference between the pollution's instantaneous effect and continuing effect is very small, and we may get a different answer from a different sample."
Res,"Although Figure 2 shows a mode in the $277,657-$500,000 range, its count (62, according to isle) becomes relatively insignificant compared to the mode of Figure 1 in the range $0-$2500 (766, according isle)."
RQJust,"Using the fact that we observed a large amount of physically well people “never” used drugs (66%), we form the hypotheses."
Struct,Residaul diagnosis was examined represented by the Figure7
Data,"We have two other potentially useful explanatory variables in 'Body.mass.g.', the typical adult body mass in grams, and in 'Temperature', the typical body temperature in Kelvin."
Int,This means I have sufficient evidence to reject the null hypothesis and conclude that there is association between pollutants and mortality.
Data,'Metabolic.rate' and 'Body.mass.g' are our explonatory variables.
RQDef,"First, are pollutants like ozone, SO$_{2}$, and PM$_{10}$ associated with increased deaths."
Lim,"In Figure 8, the residulas seem to depend on the predictor."
Data,Age is a quantitative variable that measures the user’s age in years.
Res,We can also note that the United States’s boxplots have more outliers in the higher view counts.
MethDef,"To answer our research question, we will fit generalized additive models (GAM) to predict $death$ from our explanatory variables using the log link from the Poisson family, as we assume $death$ follows the Poisson distribution."
RQDef,"Since it is likely that different positions of players cause players to have different playtimes, it seems relatively sensible to hypothesize that there will be different mean playtimes based on the position a player plays."
RQDef,"Essentially, we predict that the mean income for users who answered “often” or “sometimes” will be different from the mean income for users who answered “never”."
Context,Youtube allows people to upload anything from home videos to news to professional productions with purposes ranging from entertainment to education.
Lim,"Also, in this model, we use maximum lifespan, instead of average lifespan, as a measure of life expectancy."
MethJust,"The rest of the spline models (degrees of freedom 3,4,6,7) had an estimated MSE of prediction error between 0.35425 - 0.3561."
MethDef,Users who chose “never” are said to be non-drug users.
Struct,We note this because we might find later when we are modeling that the lagged versions of the predictors are more useful in predicting deaths because they are more stable.
Data,The dataset used in this report focuses on the Montesinho natural park and is collected from January 2000 to December 2003.
Data,The mean for DMC is 110.
MethDef,We will be using log-transformed data points in order to make our analysis easier as we showed in EDA step.
Data,"Our research questions will have us looking at the variables category, subscribers, and country."
Struct,We then look at the p-value of the test to determine if this difference is significant.
Data,"It's important to note that although the histogram visualization may suggest that there are animals with metabolic rates of zero, the lowest metabolic rate in this dataset is 0.04 watts/grams (2)."
Int,"Due to the fact that people are usually on YouTube for entertainment and educational purposes, it made sense that those respective categories resulted in a larger viewsPerVideo count."
Res,It would change from 'r raccoon$Max.longevity.years' years to between 31.56516 years and 41.40858 years with 95% confidence.
RQDef,It stands to reason that certain months have different cyclic factors which lend themselves to a greater or lesser intensity wildfire.
Data,"Our main focus is a channel’s category, a qualitative variable that is user-defined and describes the channel topic."
Res,"Given that the partial response functions for lagged PM10 and ozone show noticeable curvature and slope while that of lagged sulfur dioxide appears more flat with a small slope and less curvature, we have evidence to suggest that the lagged PM10 and ozone variables appear to be most associated with mortality among the pollutants."
Res,"Our Chi-Square Test produces a test statistic of Chi-Sq=7.3913, and a p-value of 0.1931."
MethDef,"Therefore, in our model the reponse, deaths, is given a natural log transformation since log and natural log are synonymous in this context."
Lim,"The smoothing adds complexity to the model, and terms like 'lag_tmpd' and 'lag_so2median' appear to have a linear effect on the outcome."
Data,"These cases do not belong to listed categories such as malpractice, motor vehicle, fraud, premises liability or rental/lease."
Int,"Thus, it appears that the effect of pollution extends over time but we must also be aware that this is observational data so we cannot conclude that pollution absolutely causes higher mortality rate over time (3)"
MethDef,"This line plots the average number of log-deaths over a 4 week period (one month), which allows us to more clearly see how the number of deaths changes over the years, in general."
RQDef,Our second question focuses on the size of the user base for each country on the platform.
Int,"It is not reasonable for Preston Jorgensen to conclude that reducing a crab eating raccoon's metabolic rate by 50% would cause its lifespan to change because there are a variety of factors including by not limited to geographic location, environemntal conditions, and diet that directly influence lifespan but are not within the scope of our dataset (2)."
Struct,Plots for both of these are output below.
RQJust,"Furthermore, the Pearson correlation coefficient of 0.815 is closer to 1, suggesting a more linear shape rather than a cloud-like shape."
Data,"In Figure 2, the distribution of 'log(death)' appears to be normal."
MethDef,"To model the data, we will use two Poisson generalized additive models, one using the covariates that are not lagged, and one with the lagged versions of the covariates, with the 7-day averages of each measurement."
MethDef,The two models are as follows: (1) Non-lagged GAM: Death ~ $beta_0$ + s($PM_{10}$) + s($O_3$) + s($SO_2$) + s('temperature')  Lagged GAM: Death ~ $beta_0$ + s($lagPM_{10}$) + s($lagO_3$) + s($lagSO_2$) + s('lag_temperature')
Struct,Figure 5 visualizes our model by overlaying the fitted spline (from Model 5) on top of the scatter plot between $Age.log$ and $Metabolic.log$.
MethDef,"(1) To facilitate comparison across the many variable species with widely varying bodies, we will compute the variable 'Metabolic.by.mass' by dividing 'Metabolic.rate' by 'Body.mass.g' and use this variable as our primary predictor instead of 'Metabolic.rate'."
MethJust,"Based on this analysis, we are not very confident in the normality of the residuals."
RQDef,"(1) This report's main objective is to understand how certain air pollutants, namely ozone, sulfur dioxide, and particulate matter, and temperature contribute to mortality rates."
MethJust,"In Figure 3, we see the histogram for the log of death it is still unimodal and skewed left but it appears slightly more normal and less skewed that just the death variable without the logarithm transformation (2)"
MethDef,MU is the true mean total passes for each of the positions.
RQJust,"In general, continents where there are many third-world countries, like Africa have less access to technology, and continents with more advanced countries like Europe could have more, therefore, access to technology might create an association between the number of subscribers and technology."
Res,"When we run ANOVA, the test outputs a test statistic of F= 16.8992, with a corresponding p value of 0."
Int,"This is likely due to, as mentioned before, the time it takes for the forest to recover burnable vegetation after a fire sweeps through, making many large fires in a year more unlikely."
Data,"For this analysis, a sample of all 595 players from the 2010 FIFA World Cup was collected by Opta, a company that collects and offers data on a variety of sports all around the globe."
Lim,"However, in the plot of residuals against our explanatory variable, the residuals seem to be more spread out at the lower values of log(Metabolic.by.mass)."
Struct,"Figure 2 below plots the distribution of our desired response variable, the number of deaths per day in Chicago."
Data,"However, the histogram of temperature seems a bit bimodal, with more of a left skew as analyzed earlier, and the bimodal shape could be explained by drastic changes in weather from winter to summer."
Int,"This suggests that if I fit a linear model of lifespan against metabolic by mass, I will get a negative coefficient."
MethDef,We then conducted a global goodness of fit test to assess our chosen model.
